# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.314159 41.7785 6 897.72
0.444288 22.1627 12 476.224
0.54414 14.6601 8 315.01
0.628319 10.1478 6 218.051
0.702481 7.05348 24 151.562
0.76953 6.72569 24 144.519
0.888577 4.62116 12 99.2978
0.942478 4.92285 30 105.78
0.993459 3.15659 24 67.8276
1.04195 3.50104 24 75.2289
1.08828 3.4616 8 74.3815
1.13272 2.49276 24 53.5635
1.17548 2.76182 48 59.3449
1.25664 2.28083 6 49.0096
1.29531 2.18971 48 47.0516
1.33286 1.7087 36 36.7159
1.36939 1.94335 24 41.758
1.40496 2.5524 24 54.845
1.43966 1.51252 48 32.5004
1.47354 1.80597 24 38.8061
1.53906 1.72637 24 37.0957
1.5708 1.60105 30 34.4027
1.6019 1.4032 72 30.1513
1.63242 1.2459 32 26.7714
1.6918 0.998922 72 21.4645
1.72072 1.7988 48 38.652
1.77715 1.67042 12 35.8933
1.80471 1.29191 48 27.76
1.83185 1.04796 48 22.5181
1.85859 1.03737 48 22.2907
1.88496 0.67577 30 14.5207
1.91096 0.60273 24 12.9512
1.93661 0.974663 72 20.9432
1.98692 0.800364 24 17.1979
2.0116 1.06003 96 22.7774
2.03598 0.923277 48 19.839
2.06008 0.813355 24 17.4771
2.0839 0.675851 24 14.5224
2.10744 0.849265 72 18.2487
2.13073 0.85573 48 18.3876
2.17656 0.465807 8 10.0091
2.19911 0.681854 54 14.6514
2.22144 0.651272 84 13.9943
2.24355 0.653083 48 14.0332
2.26543 0.771912 24 16.5866
2.28711 0.716664 72 15.3994
2.30859 0.810924 96 17.4248
2.35095 0.501036 48 10.7661
2.37185 0.848955 48 18.242
2.39257 0.777475 24 16.7061
2.4131 0.493131 72 10.5962
2.45366 0.647894 72 13.9217
2.47369 0.606575 96 13.0339
2.51327 0.51658 6 11.1001
2.53283 0.589326 96 12.6632
2.55224 0.693245 96 14.8962
2.5715 0.555785 24 11.9425
2.59062 0.618266 48 13.2851
2.6096 0.60764 96 13.0567
2.62844 0.677887 48 14.5662
2.66573 0.596 36 12.8066
2.68418 0.579085 48 12.4431
2.7025 0.532497 120 11.4421
2.7207 0.424657 56 9.12486
2.73878 0.572275 24 12.2968
2.75674 0.39138 96 8.40983
2.77458 0.522949 48 11.2369
2.80993 0.589225 24 12.661
2.82743 0.475499 102 10.2173
2.84483 0.504725 48 10.8453
2.86213 0.42141 72 9.0551
2.87932 0.463994 48 9.97013
2.89641 0.353004 48 7.58521
2.91339 0.489342 120 10.5148
2.94708 0.334137 24 7.17981
2.96377 0.432922 144 9.30245
2.98038 0.481565 120 10.3477
2.99689 0.407372 48 8.75345
3.02964 0.421428 48 9.05549
3.04589 0.407244 96 8.75071
3.07812 0.367139 24 7.88893
3.09411 0.421534 48 9.05777
3.11002 0.44518 108 9.56586
3.12585 0.337625 72 7.25476
3.14159 0.331764 30 7.12881
3.15726 0.441823 168 9.49373
3.17285 0.531954 48 11.4304
3.20381 0.381602 72 8.19971
3.21917 0.346757 96 7.45099
3.23447 0.39752 72 8.54176
3.24969 0.389699 72 8.3737
3.26484 0.368479 32 7.91773
3.27992 0.322003 72 6.91907
3.29493 0.396628 144 8.5226
3.33956 0.401387 96 8.62484
3.3543 0.281266 96 6.04374
3.36898 0.258975 48 5.56475
3.3836 0.403499 72 8.67022
3.39815 0.420099 120 9.02693
3.41264 0.403205 72 8.66392
3.44144 0.292441 48 6.28385
3.45575 0.330811 78 7.10834
3.47 0.298515 120 6.41437
3.48419 0.351961 48 7.56279
3.51241 0.262123 144 5.6324
3.52643 0.306108 144 6.57753
3.55431 0.257084 12 5.52412
3.56816 0.373454 144 8.02463
3.58197 0.452224 48 9.71721
3.59963 0.31346 168 6.73551
3.62306 0.322145 48 6.92213
3.63666 0.317422 168 6.82063
3.67266 0.315541 144 6.78023
3.69054 0.32548 96 6.99379
3.70388 0.276842 72 5.94868
3.71718 0.24615 48 5.28917
3.73484 0.298949 144 6.4237
3.76991 0.279799 30 6.01222
3.79166 0.273377 288 5.87421
3.80898 0.35255 56 7.57546
3.83319 0.275314 192 5.91585
3.84765 0.313231 120 6.7306
3.8817 0.299106 216 6.42708
3.89861 0.273359 96 5.87384
3.91125 0.224746 96 4.82925
3.9364 0.336404 72 7.22853
3.94892 0.326833 96 7.02286
3.97384 0.253222 24 5.44114
3.99068 0.256521 300 5.51202
4.01092 0.258649 24 5.55774
4.02933 0.301164 192 6.4713
4.04766 0.292512 120 6.28539
4.07197 0.189218 48 4.06585
4.0919 0.237561 222 5.10462
4.10817 0.227109 120 4.88004
4.13063 0.299665 192 6.43908
4.14405 0.247876 144 5.32626
4.16779 0.218398 24 4.69285
4.18748 0.232977 144 5.00611
4.20316 0.281188 120 6.04205
4.2222 0.274716 192 5.903
4.23824 0.225106 144 4.83699
4.26146 0.217204 48 4.66719
4.27797 0.246182 336 5.28987
4.29606 0.211321 48 4.54079
4.32126 0.235176 240 5.05337
4.35312 0.185786 8 3.9921
4.36444 0.217037 48 4.6636
4.37895 0.219797 336 4.72291
4.40596 0.224033 174 4.81394
4.42061 0.254779 120 5.4746
4.44989 0.222287 228 4.77641
4.47135 0.252354 168 5.42249
4.49441 0.262646 144 5.64363
4.50903 0.212727 240 4.57101
4.53087 0.274816 24 5.90513
4.54485 0.241441 336 5.18798
4.56883 0.209419 144 4.49991
4.58961 0.21385 168 4.59512
4.61718 0.205052 96 4.40608
4.63377 0.205218 216 4.40965
4.66325 0.205857 288 4.42338
4.68087 0.254036 144 5.45862
4.70985 0.209588 198 4.50354
4.72865 0.178148 216 3.82797
4.75112 0.236454 168 5.08083
4.76446 0.210121 240 4.515
4.79396 0.239171 168 5.13921
4.81157 0.184272 336 3.95957
4.8405 0.216812 240 4.65878
4.8819 0.191613 276 4.11731
4.90919 0.220555 344 4.7392
4.9274 0.173881 144 3.73628
4.95336 0.221359 240 4.75649
4.97264 0.213976 312 4.59783
5.0049 0.203478 240 4.37227
5.02655 0.104045 6 2.23567
5.04369 0.215065 384 4.62123
5.0724 0.185362 312 3.98299
5.09618 0.182147 168 3.91391
5.12103 0.226754 336 4.87241
5.14917 0.186639 336 4.01042
5.16216 0.203037 192 4.36278
5.19393 0.18676 288 4.01303
5.21395 0.179469 216 3.85637
5.23525 0.164246 240 3.52925
5.26744 0.169806 384 3.64872
5.28498 0.235224 72 5.0544
5.3076 0.181697 336 3.90423
5.34569 0.166284 378 3.57304
5.36222 0.161327 144 3.46653
5.38155 0.164185 384 3.52795
5.41298 0.156273 384 3.35794
5.43886 0.180499 344 3.87849
5.45951 0.165829 144 3.56326
5.49081 0.161651 456 3.4735
5.51553 0.153064 312 3.28898
5.53728 0.16801 144 3.61013
5.56768 0.181832 552 3.90714
5.59826 0.169956 264 3.65195
5.62783 0.163424 264 3.5116
5.64631 0.161551 294 3.47135
5.66891 0.170235 432 3.65794
5.69929 0.141319 432 3.03662
5.72582 0.141026 264 3.03032
5.74576 0.131173 192 2.81858
5.77837 0.141486 468 3.04019
5.80465 0.16761 552 3.60154
5.83524 0.140085 336 3.01009
5.86196 0.133485 288 2.86827
5.88885 0.147562 456 3.17076
5.91828 0.155981 432 3.35165
5.93942 0.14914 168 3.20466
5.97346 0.138387 566 2.9736
6.00383 0.137797 432 2.96093
6.03753 0.141133 432 3.03262
6.05765 0.148036 360 3.18094
6.08553 0.153754 624 3.30381
6.11016 0.123273 264 2.64884
6.1359 0.137142 360 2.94685
6.17267 0.133651 456 2.87185
6.19846 0.154185 504 3.31308
6.23352 0.128914 564 2.77006
6.26302 0.122012 384 2.62174
6.29378 0.146473 462 3.14735
6.32143 0.138859 624 2.98375
6.35606 0.127574 432 2.74126
6.38387 0.139729 624 3.00245
6.4159 0.145221 312 3.12045
6.44034 0.141591 552 3.04245
6.47521 0.126704 408 2.72257
6.4939 0.142608 600 3.06431
6.53503 0.126766 608 2.72389
6.56485 0.117903 504 2.53346
6.59664 0.11832 510 2.5424
6.62898 0.120778 600 2.59522
6.66071 0.132732 492 2.85209
6.68361 0.118637 552 2.54923
6.72229 0.122302 696 2.62797
6.74598 0.113786 504 2.44499
6.77945 0.117774 528 2.53069
6.80746 0.119855 624 2.5754
6.83939 0.125311 504 2.69263
6.87445 0.108164 552 2.32419
6.90783 0.114907 654 2.46908
6.93959 0.119631 840 2.57059
6.97409 0.11794 744 2.53425
7.00741 0.102832 456 2.20961
7.03677 0.115629 648 2.4846
7.0753 0.105914 896 2.27583
7.10524 0.11622 396 2.49729
7.13632 0.111787 816 2.40205
7.17401 0.0985042 672 2.11662
7.20038 0.116891 552 2.51172
7.23702 0.109921 894 2.36193
7.27234 0.117374 672 2.52208
7.30559 0.102216 624 2.19638
7.33921 0.107983 888 2.3203
7.3688 0.107767 720 2.31565
7.40895 0.109682 936 2.3568
7.44885 0.109843 648 2.36026
7.48186 0.105829 936 2.27402
7.51427 0.10648 696 2.28801
7.55531 0.116689 618 2.50737
7.58487 0.100221 1008 2.1535
7.61849 0.107142 872 2.30222
7.65737 0.105509 960 2.26713
7.69668 0.101861 888 2.18875
7.72847 0.103061 648 2.21453
7.76442 0.0984685 840 2.11585
7.79705 0.101722 912 2.18576
7.83408 0.0970362 774 2.08508
7.87257 0.099904 1272 2.1467
7.91246 0.101408 912 2.17901
7.95094 0.0998476 864 2.14549
7.98724 0.0914151 924 1.96429
8.02142 0.0974772 1080 2.09455
8.06273 0.0967743 1008 2.07945
8.09946 0.0891922 1128 1.91653
8.14393 0.0883491 768 1.89841
8.17502 0.0967234 1046 2.07835
8.2152 0.0945422 1152 2.03149
8.25601 0.0928093 1272 1.99425
8.29592 0.0927873 912 1.99378
8.33191 0.0895673 1200 1.92459
8.37325 0.0861736 1080 1.85166
8.40498 0.0950082 840 2.0415
8.45084 0.0878268 1332 1.88719
8.48913 0.0925095 1062 1.98781
8.52681 0.0818514 1320 1.75879
8.571 0.0859234 1248 1.84629
8.60833 0.0857659 1104 1.84291
8.65005 0.0881861 1392 1.89491
8.68693 0.0869208 776 1.86772
8.73005 0.0792361 1728 1.7026
8.77244 0.0822954 1224 1.76833
8.81651 0.0806168 1254 1.73226
8.85893 0.0814576 1368 1.75033
8.89912 0.0786206 1236 1.68937
8.93741 0.0797995 1608 1.7147
8.98308 0.0803669 1008 1.72689
9.01647 0.079104 1488 1.69976
9.0649 0.0815901 1440 1.75318
9.10803 0.0731757 1158 1.57237
9.14809 0.0770826 1824 1.65632
9.19097 0.0760368 1464 1.63385
9.23816 0.0742168 1448 1.59474
9.27848 0.0794165 1560 1.70647
9.32418 0.0702498 1428 1.5095
9.36737 0.079365 1680 1.70536
9.41383 0.0710909 1494 1.52757
9.45819 0.0772514 1944 1.65995
9.50417 0.0772664 1368 1.66027
9.54561 0.0711889 1584 1.52968
9.58954 0.0742219 1776 1.59485
9.63134 0.0739335 1440 1.58865
9.67749 0.0727926 1968 1.56414
9.72378 0.074812 1374 1.60753
9.76914 0.0734301 2100 1.57784
9.81572 0.0723493 1640 1.55461
9.86551 0.0718004 2496 1.54282
9.9123 0.0704942 1248 1.51475
9.94845 0.0680266 1512 1.46173
10.0002 0.0701078 2280 1.50645
10.0491 0.0698301 1926 1.50048
10.0953 0.0678808 2064 1.4586
10.1462 0.0664384 1920 1.4276
10.1883 0.0661858 1944 1.42217
10.2408 0.0671332 2172 1.44253
10.2901 0.0685584 2256 1.47316
10.3372 0.0664048 1736 1.42688
10.3847 0.0682227 2094 1.46594
10.433 0.0690488 2328 1.48369
10.4818 0.067091 2256 1.44163
10.5302 0.0683647 1920 1.46899
10.5776 0.0620979 2520 1.33434
10.6299 0.0668057 2088 1.4355
10.6858 0.0629304 2634 1.35222
10.7342 0.0618028 2328 1.328
10.7818 0.0664597 2304 1.42806
10.835 0.064728 2568 1.39085
10.8856 0.0686531 2024 1.47519
10.928 0.0624814 2352 1.34258
10.982 0.0616546 2718 1.32481
11.0344 0.061553 2520 1.32263
11.0896 0.0616816 2772 1.32539
11.1403 0.0601494 2640 1.29247
11.1945 0.0592496 2880 1.27313
11.2496 0.063013 2448 1.354
11.2983 0.0612117 2478 1.31529
11.3489 0.0599745 2904 1.28871
11.4036 0.0591405 2816 1.27079
11.4546 0.0606939 3024 1.30417
11.5153 0.0600205 2952 1.2897
11.5679 0.0552636 2796 1.18748
11.6203 0.0567803 2982 1.22007
11.6775 0.0551576 3312 1.1852
11.7301 0.0582193 2688 1.25099
11.7844 0.0561981 3144 1.20756
11.8428 0.0556116 3672 1.19496
11.8939 0.0544135 2328 1.16922
11.9543 0.0562237 4046 1.20811
12.0117 0.0557495 2844 1.19792
12.0645 0.0564927 3600 1.21389
12.1216 0.0554856 3264 1.19225
12.1786 0.0534849 3288 1.14926
12.2342 0.0552922 3198 1.1881
12.2899 0.0550138 3864 1.18212
12.3488 0.0562444 3456 1.20856
12.4064 0.0530492 3744 1.1399
12.468 0.0530016 3876 1.13888
12.5262 0.0525896 3392 1.13002
12.5835 0.0530127 3918 1.13912
12.6436 0.0534587 3864 1.1487
12.7041 0.050872 4104 1.09312
12.76 0.0506738 3480 1.08886
12.8193 0.050543 4080 1.08605
12.8832 0.0497424 4170 1.06885
12.9428 0.0505482 4176 1.08616
13.004 0.0487535 4560 1.0476
13.0668 0.0499165 3656 1.07259
13.1234 0.0495403 4344 1.0645
13.1905 0.0493195 4830 1.05976
13.2535 0.0480931 4416 1.03341
13.3128 0.0485823 3876 1.04392
13.3711 0.0483398 4752 1.03871
13.438 0.0481856 4968 1.03539
13.505 0.0479412 4494 1.03014
13.562 0.0482339 4200 1.03643
13.6284 0.0465755 5792 1.0008
13.6925 0.0483166 4224 1.03821
13.7578 0.0473233 5220 1.01687
13.8214 0.0456278 4590 0.980434
13.8828 0.0472174 5328 1.01459
13.951 0.046385 5304 0.996704
14.0176 0.0458297 5040 0.984772
14.0783 0.0450326 4920 0.967644
14.1459 0.0462992 5750 0.994858
14.2151 0.0437976 5388 0.941106
14.2795 0.0431943 5784 0.928143
14.3486 0.0430562 5400 0.925175
14.4152 0.0430039 5640 0.924051
14.4848 0.0452597 5934 0.972523
14.5518 0.043578 6120 0.936387
14.6213 0.0430073 5544 0.924124
14.6889 0.0419062 6164 0.900463
14.7577 0.0421421 5838 0.905532
14.823 0.04291 6144 0.922033
14.8954 0.0420616 6288 0.903804
14.9629 0.0404587 6576 0.86936
15.0374 0.040133 6504 0.862362
15.1094 0.0410176 6594 0.881371
15.1805 0.0409674 7008 0.880291
15.2501 0.0414372 6200 0.890386
15.3206 0.0398997 6768 0.85735
15.3938 0.0394249 7182 0.847148
15.4649 0.0399549 6864 0.858536
15.5381 0.0391 7308 0.840166
15.6102 0.0377865 6744 0.811943
15.6826 0.0387804 7686 0.833297
15.7587 0.0389962 7280 0.837936
15.831 0.0384253 7920 0.825668
15.9075 0.0383229 7560 0.823467
15.9799 0.0372543 6948 0.800507
16.0529 0.0375535 8430 0.806936
16.1323 0.0375198 8328 0.80621
16.2083 0.0382363 7824 0.821607
16.284 0.0371215 8160 0.797652
16.3583 0.0368434 8030 0.791677
16.4387 0.0362811 9372 0.779595
16.5156 0.0364199 7968 0.782576
16.5913 0.0355345 8568 0.763551
16.6713 0.0359585 8934 0.772661
16.7473 0.0343764 8952 0.738667
16.8262 0.0359567 8880 0.772623
16.9073 0.0348944 9548 0.749798
16.987 0.0347184 9126 0.746015
17.0656 0.035054 9384 0.753226
17.1437 0.0342828 9288 0.736656
17.2234 0.0344147 9792 0.739489
17.3058 0.0336282 9570 0.72259
17.3855 0.034462 10376 0.740506
17.4681 0.0332563 10152 0.714599
17.5516 0.0333592 9960 0.71681
17.6323 0.0335985 10782 0.721951
17.7188 0.0323377 10992 0.694861
17.8032 0.0314245 10452 0.675237
17.8848 0.0324047 10806 0.6963
17.9713 0.0316544 11312 0.680178
18.0539 0.0313615 11112 0.673884
18.1377 0.0315704 10848 0.678372
18.2224 0.0318566 11394 0.684522
18.3067 0.0309787 11952 0.665658
18.3923 0.0318332 11352 0.684019
18.4801 0.0307582 12584 0.660921
18.5699 0.0303356 12390 0.651841
18.6572 0.0308053 12252 0.661932
18.7424 0.0307174 12240 0.660043
18.8315 0.0297182 12486 0.638573
