# in Mpc/h Units 
# D1 = 0.321902 
# k P N P(z=0)
0.314159 93.9366 6 906.539
0.444288 51.4592 12 496.61
0.54414 34.2478 8 330.51
0.628319 25.1442 6 242.655
0.702481 16.7257 24 161.412
0.76953 16.3151 24 157.45
0.888577 9.89901 12 95.5308
0.942478 13.009 30 125.544
0.993459 7.59706 24 73.3158
1.04195 9.3049 24 89.7973
1.08828 8.22258 8 79.3523
1.13272 7.68847 24 74.1979
1.17548 8.03773 48 77.5685
1.25664 5.06551 6 48.8849
1.29531 6.18643 48 59.7024
1.33286 4.68639 36 45.2262
1.36939 4.3786 24 42.2558
1.40496 5.89159 24 56.857
1.43966 3.75655 48 36.2528
1.47354 6.28531 24 60.6567
1.53906 4.36033 24 42.0795
1.5708 5.42948 30 52.3975
1.6019 4.02306 72 38.8248
1.63242 3.68241 32 35.5372
1.6918 2.71814 72 26.2315
1.72072 5.4865 48 52.9477
1.77715 5.12751 12 49.4833
1.80471 3.23491 48 31.2186
1.83185 2.97729 48 28.7324
1.85859 3.2662 48 31.5207
1.88496 1.67992 30 16.2122
1.91096 1.37972 24 13.3151
1.93661 3.06331 72 29.5627
1.98692 3.23733 24 31.242
2.0116 3.12051 96 30.1146
2.03598 2.93555 48 28.3297
2.06008 2.96505 24 28.6144
2.0839 1.92871 24 18.6131
2.10744 2.80295 72 27.05
2.13073 2.73994 48 26.4419
2.17656 2.79382 8 26.9619
2.19911 2.69688 54 26.0263
2.22144 2.64317 84 25.5081
2.24355 1.88807 48 18.2209
2.26543 2.74936 24 26.5328
2.28711 2.16328 72 20.8768
2.30859 2.45552 96 23.6971
2.35095 1.77909 48 17.1692
2.37185 2.73054 48 26.3512
2.39257 2.64368 24 25.5129
2.4131 1.96144 72 18.929
2.45366 1.4856 72 14.3369
2.47369 1.73131 96 16.7081
2.51327 1.16923 6 11.2837
2.53283 1.85547 96 17.9063
2.55224 2.06797 96 19.957
2.5715 1.08245 24 10.4462
2.59062 2.06468 48 19.9253
2.6096 1.96942 96 19.006
2.62844 1.87 48 18.0465
2.66573 1.83698 36 17.7279
2.68418 1.91405 48 18.4716
2.7025 1.71153 120 16.5172
2.7207 1.69852 56 16.3917
2.73878 3.1216 24 30.1251
2.75674 1.9286 96 18.612
2.77458 1.85069 48 17.8602
2.80993 2.62107 24 25.2948
2.82743 1.69993 102 16.4053
2.84483 1.54904 48 14.9491
2.86213 1.59512 72 15.3938
2.87932 1.74531 48 16.8432
2.89641 1.37336 48 13.2536
2.91339 1.66165 120 16.0359
2.94708 1.73761 24 16.7689
2.96377 1.72325 144 16.6304
2.98038 1.73287 120 16.7231
2.99689 1.24716 48 12.0358
3.02964 1.73908 48 16.7831
3.04589 1.5912 96 15.3559
3.07812 1.23582 24 11.9264
3.09411 1.47801 48 14.2636
3.11002 1.72392 108 16.6368
3.12585 1.46561 72 14.144
3.14159 1.24632 30 12.0277
3.15726 1.42984 168 13.7988
3.17285 0.882796 48 8.51946
3.20381 1.32196 72 12.7576
3.21917 1.34987 96 13.027
3.23447 1.77937 72 17.1719
3.24969 1.14089 72 11.0102
3.26484 1.37497 32 13.2692
3.27992 1.37025 72 13.2237
3.29493 1.33519 144 12.8854
3.33956 1.38563 96 13.3721
3.3543 1.59828 96 15.4243
3.36898 1.2573 48 12.1336
3.3836 1.19527 72 11.5351
3.39815 1.55682 120 15.0242
3.41264 1.28813 72 12.4311
3.44144 1.27889 48 12.342
3.45575 1.23335 78 11.9025
3.47 1.13521 120 10.9554
3.48419 1.19543 48 11.5365
3.51241 1.18443 144 11.4304
3.52643 1.20943 144 11.6716
3.55431 1.27184 12 12.2739
3.56816 1.09253 144 10.5435
3.58197 1.57571 48 15.2065
3.59572 1.38189 120 13.336
3.60942 1.25176 48 12.0801
3.62306 1.0145 48 9.79044
3.63666 1.24893 168 12.0529
3.6637 1.51929 48 14.662
3.67714 1.45401 96 14.032
3.69054 1.24496 96 12.0145
3.70388 1.5144 72 14.6148
3.71718 1.11986 48 10.8073
3.73043 0.902924 96 8.7137
3.74364 1.14184 48 11.0194
3.76991 1.36374 30 13.1609
3.78298 1.32678 96 12.8042
3.796 1.02263 192 9.86894
3.80898 1.3744 56 13.2637
3.82191 0.623313 24 6.01531
3.8348 1.0971 168 10.5876
3.84765 0.99538 120 9.60596
3.87322 0.99311 72 9.58405
3.88594 1.04813 144 10.1151
3.89861 1.14861 96 11.0847
3.91125 1.00836 96 9.73118
3.9364 1.34922 72 13.0207
3.94892 1.23419 96 11.9106
3.97384 0.920161 24 8.88005
3.98623 1.03426 192 9.98116
3.99859 1.03115 108 9.95116
4.01092 0.891066 24 8.59927
4.0232 1.29004 96 12.4496
4.03545 1.26945 96 12.2509
4.04766 0.976424 120 9.42303
4.07197 1.21966 48 11.7704
4.08407 1.07997 78 10.4223
4.09614 0.967268 144 9.33466
4.10817 0.954428 120 9.21075
4.12016 0.544012 24 5.25001
4.13212 0.989665 168 9.55081
4.14405 0.924038 144 8.91747
4.16779 0.736914 24 7.11162
4.17962 1.3008 48 12.5534
4.19141 0.764513 96 7.37797
4.20316 1.1729 120 11.3192
4.21489 1.25442 72 12.1058
4.22658 0.967044 120 9.3325
4.23824 0.936071 144 9.0336
4.26146 1.15481 48 11.1445
4.27303 0.929227 192 8.96755
4.28456 0.898741 144 8.67334
4.29606 0.894855 48 8.63584
4.31898 1.05708 192 10.2014
4.33039 0.932533 48 8.99945
4.35312 1.64989 8 15.9224
4.36444 0.935234 48 9.02552
4.37573 0.98967 240 9.55085
4.387 0.89025 96 8.5914
4.39823 0.584114 54 5.63702
4.40944 0.906626 120 8.74944
4.42061 0.995316 120 9.60534
4.44288 1.08679 84 10.4881
4.45398 1.01827 144 9.82682
4.46504 0.883763 72 8.52879
4.47608 0.935449 96 9.0276
4.48709 0.922679 48 8.90436
4.49808 0.904293 96 8.72692
4.50903 0.892239 240 8.6106
4.53087 0.785734 24 7.58277
4.54175 1.00318 240 9.68121
4.5526 0.909321 96 8.77544
4.56883 1.16717 144 11.2639
4.585 0.870678 96 8.40252
4.59575 0.732836 72 7.07227
4.61718 0.734801 96 7.09123
4.62785 0.867059 96 8.36759
4.63851 1.10148 120 10.6299
4.64913 0.831612 96 8.02551
4.67484 0.887029 336 8.56031
4.70191 0.875395 48 8.44804
4.71239 0.845197 150 8.15662
4.72285 0.980942 96 9.46663
4.73329 0.908364 120 8.76621
4.75112 0.91536 168 8.83372
4.76446 1.00305 240 9.67996
4.78513 1.00204 24 9.67028
4.79543 0.847673 144 8.18051
4.80571 0.904744 216 8.73127
4.82211 0.872597 120 8.42104
4.83642 1.00451 144 9.69405
4.84661 0.920026 96 8.87875
4.87706 1.0086 144 9.73355
4.88717 0.684777 132 6.60847
4.89726 0.761128 104 7.3453
4.90732 0.793857 72 7.66115
4.922 0.714534 312 6.89564
4.94739 0.918719 96 8.86614
4.95735 0.783918 144 7.56524
4.97264 0.845044 312 8.15513
4.99701 0.785068 48 7.57633
5.00687 0.742942 192 7.1698
5.02655 0.618561 6 5.96945
5.03636 0.793222 192 7.65502
5.05103 0.797808 192 7.69928
5.06567 1.07976 96 10.4203
5.0754 0.930909 216 8.98378
5.08511 0.898762 72 8.67354
5.10448 0.731658 96 7.0609
5.11414 0.824029 96 7.95233
5.12539 0.781849 288 7.54527
5.14301 0.547844 24 5.28699
5.1526 0.745078 264 7.19041
5.16216 0.813432 192 7.85006
5.18125 0.768147 48 7.41304
5.19646 0.893952 240 8.62713
5.20974 0.782844 120 7.55487
5.21921 0.967323 96 9.33519
5.23525 0.854614 240 8.24749
5.26471 0.656899 288 6.33943
5.27563 0.7798 96 7.5255
5.28498 1.01913 72 9.83516
5.30362 0.813654 192 7.85221
5.31292 0.741223 144 7.15321
5.33146 0.976315 36 9.42197
5.34719 0.732276 342 7.06687
5.35916 0.651935 96 6.29153
5.37587 0.756218 264 7.29791
5.38671 0.875226 168 8.44641
5.405 0.638154 120 6.15854
5.41412 0.785363 192 7.57918
5.42984 0.784809 264 7.57383
5.4414 0.931148 56 8.98609
5.45589 0.806832 240 7.78637
5.48556 0.705565 216 6.80909
5.49554 0.623257 240 6.01477
5.50963 0.576763 168 5.56608
5.52599 0.789162 240 7.61585
5.55508 0.611974 144 5.90588
5.56692 0.669168 312 6.45783
5.57577 0.731037 144 7.05491
5.59826 0.663322 264 6.40142
5.62783 0.716237 264 6.91208
5.64176 0.710355 192 6.85531
5.65487 0.633374 102 6.11241
5.66891 0.707384 432 6.82664
5.68967 0.602526 48 5.8147
5.69833 0.627513 288 6.05584
5.71069 0.56338 168 5.43692
5.72964 0.79222 192 7.64535
5.74147 0.65413 144 6.31271
5.75863 0.619905 48 5.98242
5.77277 0.669163 276 6.45779
5.78642 0.641615 192 6.19193
5.80132 0.770743 336 7.43809
5.80982 0.713327 216 6.88399
5.83055 0.607476 216 5.86247
5.84792 0.723906 240 6.98609
5.87392 0.760709 408 7.34125
5.89415 0.63329 24 6.11159
5.90669 0.646309 384 6.23723
5.92421 0.650689 240 6.27951
5.93942 0.69404 168 6.69786
5.96499 0.683181 246 6.59307
5.97997 0.591003 320 5.7035
6.00063 0.699501 288 6.75057
6.01022 0.628559 144 6.06594
6.0348 0.67817 288 6.54471
6.04764 0.651821 336 6.29042
6.0651 0.665143 168 6.41899
6.07555 0.704704 336 6.80078
6.09177 0.744942 96 7.1891
6.10391 0.655265 384 6.32366
6.11603 0.812747 72 7.84345
6.13444 0.708759 336 6.83991
6.15624 0.397353 24 3.83467
6.16996 0.646074 336 6.23496
6.18252 0.578472 168 5.58257
6.19954 0.576251 456 5.56113
6.22004 0.7866 108 7.59112
6.23156 0.686193 264 6.62214
6.24595 0.712129 264 6.87243
6.26564 0.635865 312 6.13644
6.28319 0.408146 30 3.93883
6.29452 0.584205 432 5.6379
6.31756 0.635041 432 6.12849
6.33013 0.660267 192 6.37193
6.35192 0.704562 240 6.79941
6.36456 0.625171 336 6.03324
6.38447 0.584711 240 5.64278
6.3922 0.666758 240 6.43458
6.41275 0.504704 216 4.87067
6.42832 0.675376 312 6.51774
6.44655 0.630463 336 6.08431
6.46894 0.680998 72 6.57201
6.48007 0.642487 624 6.20035
6.49634 0.744612 120 7.18591
6.51021 0.706777 336 6.82078
6.52968 0.651806 32 6.29028
6.54409 0.595159 528 5.74361
6.56562 0.576743 312 5.56589
6.57487 0.505608 96 4.87939
6.59474 0.580821 414 5.60524
6.60897 0.641451 216 6.19036
6.63315 0.565229 480 5.45477
6.6632 0.66366 636 6.40469
6.68355 0.579347 240 5.59102
6.69388 0.515086 168 4.97086
6.7191 0.655205 504 6.32309
6.7321 0.65151 240 6.28742
6.74682 0.551112 456 5.31853
6.7725 0.68633 264 6.62346
6.78639 0.5519 264 5.32613
6.80514 0.587382 552 5.66855
6.82529 0.544697 72 5.25662
6.83702 0.663924 384 6.40723
6.8562 0.619867 336 5.98206
6.86853 0.558312 96 5.38802
6.89291 0.56863 480 5.48759
6.90756 0.728392 174 7.02938
6.92267 0.606707 552 5.85505
6.94474 0.518546 360 5.00425
6.95933 0.535737 432 5.17016
6.98042 0.505322 480 4.87663
7.00371 0.639387 288 6.17043
7.01377 0.50995 168 4.9213
7.03217 0.521905 504 5.03667
7.05566 0.564255 240 5.44537
7.06849 0.545354 440 5.26296
7.09018 0.522268 552 5.04017
7.10861 0.864406 12 8.34199
7.12185 0.536568 528 5.17817
7.14393 0.617942 480 5.96348
7.16393 0.425477 48 4.10609
7.17479 0.538033 624 5.19231
7.19862 0.562455 504 5.428
7.22401 0.622073 198 6.00334
7.23516 0.497329 552 4.7995
7.25595 0.535658 432 5.16939
7.27644 0.599972 312 5.79006
7.29122 0.545949 336 5.26871
7.31192 0.507674 408 4.89933
7.33337 0.507772 432 4.90028
7.34474 0.459236 456 4.43188
7.36312 0.572313 528 5.52313
7.39021 0.546711 456 5.27606
7.40396 0.468058 168 4.51702
7.41823 0.53029 504 5.11759
7.44195 0.54816 336 5.29004
7.45982 0.473962 456 4.574
7.47564 0.541115 408 5.22205
7.49795 0.52591 696 5.07532
7.52344 0.51882 384 5.0069
7.54481 0.576158 126 5.56024
7.558 0.576689 492 5.56536
7.57485 0.507407 528 4.89676
7.59872 0.46891 696 4.52524
7.61833 0.475869 416 4.59239
7.63208 0.48456 264 4.67627
7.65511 0.523206 768 5.04922
7.6749 0.511872 408 4.93984
7.69957 0.489902 360 4.72783
7.71 0.45289 408 4.37064
7.72931 0.478902 456 4.62167
7.75392 0.401971 408 3.87924
7.77036 0.521127 504 5.02916
7.79066 0.561754 648 5.42123
7.81535 0.501404 360 4.83882
7.83053 0.534221 528 5.15553
7.85864 0.517404 582 4.99323
7.87632 0.504222 600 4.86602
7.89523 0.493128 576 4.75895
7.914 0.490415 408 4.73277
7.93268 0.447339 408 4.31707
7.95698 0.448962 624 4.33273
7.97865 0.478587 576 4.61863
8.00144 0.477522 348 4.60835
8.01209 0.455334 576 4.39423
8.03437 0.4403 600 4.24914
8.0589 0.463679 600 4.47475
8.07879 0.492 576 4.74807
8.10331 0.460631 768 4.44534
8.12088 0.477608 240 4.60918
8.14134 0.535596 336 5.16879
8.15994 0.453095 590 4.37262
8.17963 0.449119 744 4.33424
8.20288 0.441153 504 4.25736
