# in Mpc/h Units 
# D1 = 0.425202 
# k P N P(z=0)
0.628319 38.0834 6 210.642
0.888577 21.159 12 117.032
1.08828 14.0868 8 77.9151
1.25664 13.9812 6 77.3312
1.40496 8.26068 24 45.6905
1.53906 7.50474 24 41.5094
1.77715 3.39495 12 18.7777
1.88496 5.94254 30 32.8687
1.98692 4.38283 24 24.2418
2.0839 6.0946 24 33.7097
2.17656 4.29335 8 23.7469
2.26543 4.34729 24 24.0452
2.35095 4.92315 48 27.2304
2.51327 6.39097 6 35.349
2.59062 3.70332 48 20.4833
2.66573 3.12008 36 17.2574
2.73878 2.73187 24 15.1102
2.80993 3.95906 24 21.8979
2.87932 3.79207 48 20.9742
2.94708 4.64109 24 25.6702
3.07812 2.53029 24 13.9952
3.14159 4.00071 30 22.1282
3.20381 2.25011 72 12.4455
3.26484 2.49778 32 13.8154
3.3836 2.88581 72 15.9617
3.44144 2.48304 48 13.7339
3.55431 2.74914 12 15.2057
3.60942 1.58834 48 8.78524
3.6637 3.24138 48 17.9283
3.71718 2.40323 48 13.2925
3.76991 2.05523 30 11.3676
3.82191 1.94548 24 10.7606
3.87322 1.80441 72 9.98036
3.97384 1.35176 24 7.47669
4.0232 2.4191 96 13.3803
4.07197 2.74291 48 15.1713
4.12016 2.03547 24 11.2583
4.16779 1.84536 24 10.2069
4.21489 1.72768 72 9.55594
4.26146 2.89383 48 16.006
4.35312 2.66238 8 14.7258
4.39823 1.45767 54 8.06247
4.44288 1.99086 84 11.0116
4.48709 1.59787 48 8.83793
4.53087 1.43736 24 7.95018
4.57423 1.7514 72 9.68712
4.61718 1.49911 96 8.2917
4.70191 1.64619 48 9.1052
4.7437 1.73288 48 9.58472
4.78513 1.80705 24 9.99493
4.82621 1.80737 72 9.99672
4.90732 2.04525 72 11.3124
4.94739 1.656 96 9.15945
5.02655 1.50264 6 8.31121
5.06567 1.54691 96 8.55608
5.10448 1.59425 96 8.8179
5.14301 1.26526 24 6.99825
5.18125 1.8607 48 10.2917
5.21921 1.53014 96 8.46335
5.25689 1.6277 48 9.00296
5.33146 1.45018 36 8.02104
5.36836 2.311 48 12.7823
5.405 1.50076 120 8.30081
5.4414 1.5846 56 8.76458
5.47755 1.23702 24 6.84204
5.51347 1.47225 96 8.14314
5.54916 1.38158 48 7.64163
5.61985 2.24444 24 12.4142
5.65487 1.80552 102 9.9865
5.68967 1.54697 48 8.5564
5.72425 1.47428 72 8.15438
5.75863 1.69491 48 9.37469
5.79281 1.13738 48 6.29094
5.82679 1.28448 120 7.10455
5.89415 1.11802 24 6.18386
5.92755 1.18955 144 6.5795
5.96075 1.32347 120 7.32023
5.99378 1.36388 48 7.54376
6.05928 1.17732 48 6.51187
6.09177 1.23792 96 6.84705
6.15624 1.25843 24 6.96049
6.18822 1.2061 48 6.67105
6.22004 1.36875 108 7.57069
6.25169 1.42257 72 7.86833
6.28319 0.761318 30 4.21091
6.31452 1.29786 168 7.17856
6.34571 1.79875 48 9.94906
6.40762 1.22176 72 6.75765
6.43835 1.3417 96 7.42107
6.46894 1.07663 72 5.95493
6.49938 1.07816 72 5.96342
6.52968 0.834714 32 4.61687
6.55984 1.16228 72 6.42868
6.58986 1.07036 144 5.92023
6.67912 1.0974 96 6.06981
6.70861 1.12684 96 6.23265
6.73797 1.2682 48 7.01451
6.7672 1.26489 72 6.99621
6.7963 1.20016 120 6.63817
6.82529 0.989208 72 5.47139
6.88288 0.994429 48 5.50027
6.9115 0.957143 78 5.29404
6.94001 1.24704 120 6.8975
6.96839 1.19755 48 6.62376
7.02481 1.03741 144 5.73798
7.05286 1.20047 144 6.63992
7.10861 0.7126 12 3.94145
7.13633 0.972571 144 5.37937
7.16393 0.861308 48 4.76397
7.19926 0.978912 168 5.41445
7.24612 1.14899 48 6.35517
7.27331 1.04501 168 5.78001
7.34532 1.08878 144 6.02215
7.38107 1.04604 96 5.78571
7.40777 0.86163 72 4.76575
7.43437 0.95054 48 5.25752
7.46967 1.14427 144 6.32904
7.53982 0.969179 30 5.36061
7.58332 1.08474 288 5.99981
7.61796 1.32293 56 7.31722
7.66638 1.10573 192 6.11588
7.6953 1.24655 120 6.89475
7.76339 1.03047 216 5.69963
7.79723 1.08115 96 5.97992
7.8225 1.14445 96 6.33005
7.87281 0.861836 72 4.76689
7.89784 0.977716 96 5.40783
7.94767 0.920434 24 5.091
7.98137 0.87982 300 4.86636
8.02183 0.889721 24 4.92112
8.05865 1.02413 192 5.66456
8.09532 1.03091 120 5.70207
8.14394 0.864738 48 4.78294
8.18379 1.012 222 5.59745
8.21633 1.02196 120 5.65252
8.26125 0.934258 192 5.16746
8.28809 1.22372 144 6.76848
8.33559 0.779204 24 4.30984
8.37495 0.844846 144 4.67292
8.40633 0.916112 120 5.06709
8.44439 0.939381 192 5.19579
8.47648 0.865337 144 4.78625
8.52293 1.17559 48 6.50228
8.55594 0.874465 336 4.83674
8.59213 0.776012 48 4.29219
8.64252 0.781292 240 4.32139
8.70624 0.695589 8 3.84736
8.72888 0.769553 48 4.25646
8.7579 0.939201 336 5.1948
8.81192 0.919379 174 5.08516
8.84123 0.781585 120 4.32301
8.89978 0.846982 228 4.68473
8.9427 0.916334 168 5.06832
8.98883 0.863452 144 4.77583
9.01807 0.844463 240 4.6708
9.06174 0.800647 24 4.42845
9.0897 0.79632 336 4.40451
9.13765 0.797458 144 4.41081
9.17922 0.869573 168 4.80968
9.23436 0.752189 96 4.16042
9.26754 0.716563 216 3.96337
9.32651 0.725615 288 4.01344
9.36174 0.862636 144 4.77131
9.41969 0.991368 198 5.48334
9.4573 0.879214 216 4.86301
9.50225 0.751795 168 4.15824
9.52892 0.775276 240 4.28812
9.58792 0.881379 168 4.87498
9.62314 0.762498 336 4.21744
9.68099 0.688644 240 3.80895
9.7638 0.770717 276 4.2629
9.81837 0.790734 344 4.37361
9.85479 0.694322 144 3.84035
9.90673 0.804683 240 4.45077
9.94528 0.850488 312 4.70412
10.0098 0.646524 240 3.57598
10.0531 0.886552 6 4.90359
10.0874 0.688225 384 3.80663
10.1448 0.748234 312 4.13855
10.1924 0.655543 168 3.62586
10.2421 0.739425 336 4.08982
10.2983 0.70744 336 3.91291
10.3243 0.805136 192 4.45327
10.3879 0.764649 288 4.22934
10.4279 0.797482 216 4.41094
10.4705 0.781466 240 4.32235
10.5349 0.673248 384 3.72379
10.57 0.678997 72 3.75559
10.6152 0.759064 336 4.19845
10.6914 0.709382 378 3.92365
10.7244 0.587694 144 3.25058
10.7631 0.582863 384 3.22387
10.826 0.709961 384 3.92685
10.8777 0.702245 344 3.88417
10.919 0.800618 144 4.42828
10.9816 0.754721 456 4.17442
11.0311 0.683703 312 3.78162
11.0746 0.811136 144 4.48646
11.1354 0.573957 552 3.1746
11.1965 0.656106 264 3.62898
11.2557 0.679667 264 3.75929
11.2926 0.637258 294 3.52473
11.3378 0.667899 432 3.69421
11.3986 0.66919 432 3.70134
11.4516 0.638819 264 3.53336
11.4915 0.629415 192 3.48135
11.5567 0.650175 468 3.59617
11.6093 0.583473 552 3.22724
11.6705 0.619085 336 3.42421
11.7239 0.564742 288 3.12363
11.7777 0.564207 456 3.12068
11.8366 0.570396 432 3.15491
11.8788 0.609679 168 3.37219
11.9469 0.586569 566 3.24436
12.0077 0.628251 432 3.47491
12.0751 0.565102 432 3.12563
12.1153 0.610423 360 3.3763
12.1711 0.524606 624 2.90164
12.2203 0.572401 264 3.166
12.2718 0.547376 360 3.02758
12.3453 0.605719 456 3.35028
12.3969 0.555214 504 3.07093
12.467 0.586387 564 3.24335
12.526 0.560403 384 3.09964
12.5876 0.524978 462 2.9037
12.6429 0.536241 624 2.966
12.7121 0.565772 432 3.12933
12.7677 0.526532 624 2.91229
12.8318 0.547499 312 3.02826
12.8807 0.523304 552 2.89444
12.9504 0.496607 408 2.74678
12.9878 0.501053 600 2.77136
13.0701 0.527585 608 2.91811
13.1297 0.433461 504 2.39751
