# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.314159 59.9438 6 897.509
0.444288 32.2214 12 482.434
0.54414 21.3761 8 320.053
0.628319 15.0379 6 225.155
0.702481 10.2632 24 153.666
0.76953 9.932 24 148.707
0.888577 6.52594 12 97.7095
0.942478 7.53946 30 112.885
0.993459 4.60354 24 68.9265
1.04195 5.32379 24 79.7104
1.08828 5.08286 8 76.103
1.13272 4.03058 24 60.3479
1.17548 4.36846 48 65.4067
1.25664 3.15054 6 47.1714
1.29531 3.43114 48 51.3727
1.33286 2.63146 36 39.3995
1.36939 2.792 24 41.8032
1.40496 3.70244 24 55.4347
1.43966 2.19932 48 32.9294
1.47354 3.03523 24 45.445
1.53906 2.56237 24 38.365
1.5708 2.68695 30 40.2303
1.6019 2.2386 72 33.5174
1.63242 1.98263 32 29.685
1.6918 1.50284 72 22.5013
1.72072 3.02327 48 45.2659
1.77715 2.76315 12 41.3712
1.80471 1.96839 48 29.4717
1.83185 1.64047 48 24.562
1.85859 1.71086 48 25.6158
1.88496 0.994014 30 14.8829
1.91096 0.826818 24 12.3795
1.93661 1.63912 72 24.5417
1.98692 1.47564 24 22.0941
2.0116 1.69953 96 25.4461
2.03598 1.50926 48 22.5974
2.06008 1.42338 24 21.3116
2.0839 0.952081 24 14.255
2.10744 1.45122 72 21.7283
2.13073 1.41774 48 21.2271
2.17656 1.04259 8 15.6102
2.19911 1.20143 54 17.9884
2.22144 1.15054 84 17.2265
2.24355 0.995107 48 14.8992
2.26543 1.2801 24 19.1662
2.28711 1.14233 72 17.1035
2.30859 1.36074 96 20.3736
2.35095 0.854628 48 12.7959
2.37185 1.47778 48 22.1261
2.39257 1.23725 24 18.5247
2.4131 0.827628 72 12.3917
2.45366 0.900914 72 13.4889
2.47369 0.970621 96 14.5326
2.51327 0.751727 6 11.2552
2.53283 1.02021 96 15.2751
2.55224 1.12125 96 16.7878
2.5715 0.771408 24 11.5499
2.59062 1.05955 48 15.8642
2.6096 0.977951 96 14.6424
2.62844 1.10994 48 16.6186
2.66573 0.91917 36 13.7623
2.68418 1.04446 48 15.6381
2.7025 0.92142 120 13.796
2.7207 0.75436 56 11.2947
2.73878 1.27041 24 19.0211
2.75674 0.801906 96 12.0065
2.77458 0.873846 48 13.0837
2.80993 1.18705 24 17.7731
2.82743 0.811395 102 12.1486
2.84483 0.876278 48 13.1201
2.86213 0.739694 72 11.0751
2.87932 0.854468 48 12.7935
2.89641 0.606462 48 9.08025
2.91339 0.818045 120 12.2482
2.94708 0.647334 24 9.69221
2.96377 0.748226 144 11.2028
2.98038 0.840953 120 12.5912
2.99689 0.686066 48 10.2721
3.02964 0.769702 48 11.5244
3.04589 0.725482 96 10.8623
3.07812 0.684036 24 10.2417
3.09411 0.687004 48 10.2862
3.11002 0.826771 108 12.3788
3.12585 0.640413 72 9.58857
3.14159 0.551027 30 8.25025
3.15726 0.731382 168 10.9506
3.17285 0.680438 48 10.1879
3.20381 0.643668 72 9.63731
3.21917 0.626037 96 9.37333
3.23447 0.785834 72 11.7659
3.24969 0.651035 72 9.74762
3.26484 0.65261 32 9.7712
3.27992 0.604104 72 9.04494
3.29493 0.620807 144 9.29502
3.33956 0.710956 96 10.6448
3.3543 0.6083 96 9.10776
3.36898 0.424883 48 6.36155
3.3836 0.705958 72 10.57
3.39815 0.771636 120 11.5533
3.41264 0.634974 72 9.50714
3.44144 0.50523 48 7.56456
3.45575 0.543512 78 8.13773
3.47 0.529749 120 7.93166
3.48419 0.624915 48 9.35653
3.51241 0.491643 144 7.36112
3.52643 0.553566 144 8.28827
3.55431 0.521613 12 7.80985
3.56816 0.619504 144 9.27552
3.58197 0.809502 48 12.1203
3.59963 0.594922 168 8.90747
3.62306 0.550665 48 8.24483
3.63666 0.564727 168 8.45538
3.67266 0.583795 144 8.74087
3.69054 0.583248 96 8.73268
3.70388 0.600825 72 8.99585
3.71718 0.470453 48 7.04385
3.73484 0.464387 144 6.95303
3.76991 0.529687 30 7.93073
3.79166 0.473261 288 7.08589
3.80898 0.631065 56 9.44862
3.83319 0.466023 192 6.97752
3.84765 0.518091 120 7.75712
3.8817 0.503483 216 7.5384
3.89861 0.487792 96 7.30346
3.91125 0.434611 96 6.50721
3.9364 0.691978 72 10.3606
3.94892 0.593126 96 8.88058
3.97384 0.37987 24 5.6876
3.99068 0.453901 300 6.79602
4.01092 0.467386 24 6.99794
4.02933 0.59314 192 8.88079
4.04766 0.455616 120 6.82171
4.07197 0.438684 48 6.5682
4.0919 0.406314 222 6.08353
4.10817 0.408028 120 6.1092
4.13063 0.542224 192 8.11844
4.14405 0.434908 144 6.51166
4.16779 0.327048 24 4.89673
4.18748 0.442788 144 6.62965
4.20316 0.495317 120 7.41612
4.2222 0.482366 192 7.22221
4.23824 0.39574 144 5.92521
4.26146 0.438076 48 6.55909
4.27797 0.423769 336 6.34488
4.29606 0.405527 48 6.07175
4.32126 0.437787 240 6.55476
4.35312 0.340215 8 5.09386
4.36444 0.364271 48 5.45404
4.37895 0.40473 336 6.05981
4.40596 0.373426 174 5.59111
4.42061 0.509445 120 7.62767
4.44989 0.419332 228 6.27845
4.47135 0.43565 168 6.52276
4.49441 0.473859 144 7.09486
4.50903 0.407146 240 6.09599
4.53087 0.518912 24 7.76941
4.54485 0.439327 336 6.57781
4.56883 0.494372 144 7.40198
4.58961 0.391096 168 5.85568
4.61718 0.313087 96 4.6877
4.63377 0.376991 216 5.6445
4.66325 0.362825 288 5.43239
4.68087 0.448081 144 6.70889
4.70985 0.345409 198 5.17164
4.72865 0.360518 216 5.39785
