# in Mpc/h Units 
# D1 = 0.215728 
# k P N P(z=0)
0.314159 41.58 6 893.454
0.444288 22.0498 12 473.797
0.54414 14.5842 8 313.38
0.628319 10.0927 6 216.867
0.702481 7.01759 24 150.791
0.76953 6.69016 24 143.756
0.888577 4.59916 12 98.825
0.942478 4.89435 30 105.168
0.993459 3.14059 24 67.4838
1.04195 3.48138 24 74.8066
1.08828 3.4436 8 73.9948
1.13272 2.47672 24 53.2188
1.17548 2.74471 48 58.9772
1.25664 2.2712 6 48.8027
1.29531 2.17629 48 46.7633
1.33286 1.69884 36 36.5041
1.36939 1.93396 24 41.5561
1.40496 2.53928 24 54.563
1.43966 1.50508 48 32.3405
1.47354 1.79356 24 38.5393
1.53906 1.71731 24 36.901
1.5708 1.58998 30 34.1649
1.6019 1.39431 72 29.9604
1.63242 1.23809 32 26.6037
1.6918 0.993653 72 21.3512
1.72072 1.78549 48 38.3659
1.77715 1.65868 12 35.641
1.80471 1.28453 48 27.6014
1.83185 1.04161 48 22.3817
1.85859 1.0303 48 22.1386
1.88496 0.672212 30 14.4442
1.91096 0.600199 24 12.8968
1.93661 0.967518 72 20.7897
1.98692 0.793486 24 17.0501
2.0116 1.05319 96 22.6305
2.03598 0.917143 48 19.7072
2.06008 0.807267 24 17.3462
2.0839 0.673246 24 14.4665
2.10744 0.843063 72 18.1154
2.13073 0.849884 48 18.262
2.17656 0.460485 8 9.89472
2.19911 0.676802 54 14.5429
2.22144 0.646523 84 13.8922
2.24355 0.649504 48 13.9563
2.26543 0.7668 24 16.4767
2.28711 0.712143 72 15.3022
2.30859 0.805035 96 17.2983
2.35095 0.497615 48 10.6926
2.37185 0.842025 48 18.0931
2.39257 0.772738 24 16.6043
2.4131 0.48994 72 10.5276
2.45366 0.645027 72 13.8601
2.47369 0.602545 96 12.9473
2.51327 0.513704 6 11.0383
2.53283 0.584671 96 12.5632
2.55224 0.68857 96 14.7957
2.5715 0.553042 24 11.8835
2.59062 0.613642 48 13.1857
2.6096 0.603725 96 12.9726
2.62844 0.673101 48 14.4633
2.66573 0.592927 36 12.7406
2.68418 0.574008 48 12.3341
2.7025 0.52842 120 11.3545
2.7207 0.421658 56 9.06042
2.73878 0.565694 24 12.1554
2.75674 0.3876 96 8.32861
2.77458 0.519566 48 11.1642
2.80993 0.58331 24 12.5339
2.82743 0.472142 102 10.1452
2.84483 0.500711 48 10.7591
2.86213 0.418211 72 8.98635
2.87932 0.460127 48 9.88703
2.89641 0.350581 48 7.53315
2.91339 0.485955 120 10.442
2.94708 0.331316 24 7.1192
2.96377 0.429879 144 9.23708
2.98038 0.478004 120 10.2712
2.99689 0.404292 48 8.68726
3.02964 0.418097 48 8.98391
3.04589 0.403978 96 8.68052
3.07812 0.36375 24 7.81612
3.09411 0.418833 48 8.99972
3.11002 0.441329 108 9.4831
3.12585 0.334761 72 7.19322
3.14159 0.329505 30 7.08028
3.15726 0.438753 168 9.42776
3.17285 0.529679 48 11.3815
3.20381 0.378738 72 8.13818
3.21917 0.343905 96 7.38969
3.23447 0.39378 72 8.4614
3.24969 0.386834 72 8.31214
3.26484 0.365698 32 7.85797
3.27992 0.319165 72 6.85809
3.29493 0.394441 144 8.47559
3.33956 0.398143 96 8.55514
3.3543 0.278337 96 5.98079
3.36898 0.257576 48 5.53469
3.3836 0.400121 72 8.59764
3.39815 0.416509 120 8.94979
3.41264 0.400989 72 8.6163
3.44144 0.290447 48 6.241
3.45575 0.328812 78 7.06538
3.47 0.296229 120 6.36525
3.48419 0.349138 48 7.50214
3.51241 0.260009 144 5.58697
3.52643 0.303684 144 6.52544
3.55431 0.254743 12 5.47382
3.56816 0.370684 144 7.96512
3.58197 0.448575 48 9.63881
3.59572 0.297464 120 6.39178
3.60942 0.343864 48 7.38882
3.62306 0.319713 48 6.86986
3.63666 0.315002 168 6.76863
3.6637 0.33518 48 7.20221
3.67714 0.301926 96 6.48768
3.69054 0.322927 96 6.93892
3.70388 0.273956 72 5.88665
3.71718 0.243967 48 5.24228
3.73043 0.317324 96 6.81853
3.74364 0.256586 48 5.51343
3.76991 0.277748 30 5.96814
3.78298 0.273855 96 5.88449
3.796 0.270387 192 5.80996
3.80898 0.349384 56 7.50742
3.82191 0.245434 24 5.27379
3.8348 0.277293 168 5.95837
3.84765 0.310954 120 6.68166
3.87322 0.366804 72 7.88175
3.88594 0.262134 144 5.63264
3.89861 0.271251 96 5.82854
3.91125 0.222644 96 4.78409
3.9364 0.332727 72 7.14951
3.94892 0.324105 96 6.96423
3.97384 0.251637 24 5.40707
3.98623 0.255351 192 5.48689
3.99859 0.253019 108 5.43678
4.01092 0.256152 24 5.50408
4.0232 0.302039 96 6.4901
4.03545 0.294431 96 6.32662
4.04766 0.290719 120 6.24686
4.07197 0.187029 48 4.01881
4.08407 0.23801 78 5.11427
4.09614 0.234822 144 5.04577
4.10817 0.225375 120 4.84276
4.12016 0.256771 24 5.51739
4.13212 0.302596 168 6.50207
4.14405 0.246074 144 5.28754
4.16779 0.216888 24 4.66041
4.17962 0.226894 48 4.87541
4.19141 0.232984 96 5.00627
4.20316 0.2789 120 5.9929
4.21489 0.274687 72 5.90238
4.22658 0.271355 120 5.83077
4.23824 0.223525 144 4.80302
4.26146 0.215363 48 4.62764
4.27303 0.232864 192 5.0037
4.28456 0.259651 144 5.57929
4.29606 0.209269 48 4.49669
4.31898 0.225921 192 4.8545
4.33039 0.261985 48 5.62944
4.35312 0.185376 8 3.98328
4.36444 0.215805 48 4.63714
4.37573 0.206252 240 4.43187
4.387 0.247253 96 5.31288
4.39823 0.223617 54 4.805
4.40944 0.221829 120 4.76658
4.42061 0.252007 120 5.41504
4.44288 0.235121 84 5.05219
4.45398 0.211977 144 4.55488
4.46504 0.215311 72 4.62652
4.47608 0.276573 96 5.9429
4.48709 0.265422 48 5.70329
4.49808 0.257812 96 5.53976
4.50903 0.210919 240 4.53214
4.53087 0.27211 24 5.847
4.54175 0.246915 240 5.30562
4.5526 0.220841 96 4.74536
4.56883 0.206836 144 4.44442
4.585 0.25124 96 5.39855
4.59575 0.159366 72 3.42439
4.61718 0.203762 96 4.37836
4.62785 0.205724 96 4.42052
4.63851 0.202079 120 4.34219
4.64913 0.151549 96 3.25643
4.67484 0.239651 336 5.14954
4.70191 0.223738 48 4.80759
4.71239 0.203362 150 4.36977
4.72285 0.180765 96 3.88422
