# in Mpc/h Units 
# D1 = 0.258436 
# k P N P(z=0)
0.628319 14.0192 6 209.903
0.888577 7.34778 12 110.015
1.08828 4.77377 8 71.4753
1.25664 3.55384 6 53.2099
1.40496 2.28322 24 34.1854
1.53906 2.22881 24 33.3709
1.77715 1.2595 12 18.8578
1.88496 1.72863 30 25.8819
1.98692 0.995727 24 14.9085
2.0839 1.24772 24 18.6814
2.17656 1.07252 8 16.0583
2.26543 1.03216 24 15.4541
2.35095 1.08293 48 16.2142
2.51327 0.653688 6 9.78733
2.59062 0.820699 48 12.2879
2.66573 0.625842 36 9.37042
2.73878 0.555111 24 8.3114
2.80993 0.732604 24 10.9689
2.87932 0.493301 48 7.38594
2.94708 0.869413 24 13.0173
3.07812 0.5809 24 8.69752
3.14159 0.741717 30 11.1054
3.20381 0.516866 72 7.73877
3.26484 0.478337 32 7.1619
3.3836 0.358638 72 5.3697
3.44144 0.683725 48 10.2371
3.55431 0.676614 12 10.1306
3.60942 0.405025 48 6.06423
3.6637 0.393298 48 5.88865
3.71718 0.425283 48 6.36754
3.76991 0.212995 30 3.18906
3.82191 0.187057 24 2.80071
3.87322 0.384115 72 5.75116
3.97384 0.425237 24 6.36686
4.0232 0.405443 96 6.0705
4.07197 0.387993 48 5.80923
4.12016 0.380919 24 5.70331
4.16779 0.280752 24 4.20355
4.21489 0.355143 72 5.31737
4.26146 0.353285 48 5.28956
4.35312 0.397971 8 5.95862
4.39823 0.361918 54 5.41882
4.44288 0.36042 84 5.39639
4.48709 0.250226 48 3.74651
4.53087 0.373036 24 5.58528
4.57423 0.274095 72 4.10389
4.61718 0.29683 96 4.44428
4.70191 0.229269 48 3.43273
4.7437 0.33572 48 5.02656
4.78513 0.382812 24 5.73165
4.82621 0.279065 72 4.1783
4.90732 0.1974 72 2.95556
4.94739 0.216728 96 3.24496
5.02655 0.143527 6 2.14896
5.06567 0.226725 96 3.39464
5.10448 0.26498 96 3.96741
5.14301 0.141504 24 2.11866
5.18125 0.260473 48 3.89992
5.21921 0.262603 96 3.93182
5.25689 0.217018 48 3.24931
5.33146 0.232482 36 3.48084
5.36836 0.234343 48 3.5087
5.405 0.209147 120 3.13145
5.4414 0.230463 56 3.4506
5.47755 0.418344 24 6.26365
5.51347 0.242786 96 3.63511
5.54916 0.236661 48 3.5434
5.61985 0.314377 24 4.707
5.65487 0.220957 102 3.30828
5.68967 0.181184 48 2.71277
5.72425 0.20188 72 3.02264
5.75863 0.210754 48 3.15552
5.79281 0.181703 48 2.72055
5.82679 0.214465 120 3.21108
5.89415 0.23521 24 3.52168
5.92755 0.232529 144 3.48154
5.96075 0.218101 120 3.26552
5.99378 0.139972 48 2.09574
6.05928 0.223541 48 3.34697
6.09177 0.209092 96 3.13063
6.15624 0.149182 24 2.23362
6.18822 0.20892 48 3.12805
6.22004 0.210472 108 3.15129
6.25169 0.183777 72 2.7516
6.28319 0.175716 30 2.63091
6.31452 0.180859 168 2.70791
6.34571 0.117186 48 1.75456
6.40762 0.174394 72 2.61112
6.43835 0.17111 96 2.56195
6.46894 0.222736 72 3.33492
6.49938 0.147739 72 2.21202
6.52968 0.172774 32 2.58685
6.55984 0.177773 72 2.6617
6.58986 0.181591 144 2.71887
6.67912 0.166877 96 2.49857
6.70861 0.205997 96 3.08428
6.73797 0.190216 48 2.84801
6.7672 0.141813 72 2.1233
